label,periods,invested_periods,coverage,avg_selected_count,cumulative_return,cumulative_excess_return,CAGR,MDD,Sharpe,avg_return,avg_excess,invested_avg_return,invested_avg_excess,hit_excess,hit_positive,label_base,year
rule_top3_no_gate_2016,12,12,1.0,3.0,0.10678342308653366,-0.07228664696921061,0.10678342308653366,-0.08636559472826644,0.9673226136012432,0.008962276396802249,-0.006019977433808298,0.008962276396802249,-0.006019977433808298,0.5,0.6666666666666666,rule_top3_no_gate,2016
rule_top3_no_gate_2017,12,12,1.0,3.0,0.12999556992006545,-0.0799649963332798,0.12999556992006545,-0.07397189918496272,1.0441580044664056,0.010835810256752093,-0.00675152364263876,0.010835810256752093,-0.00675152364263876,0.3333333333333333,0.6666666666666666,rule_top3_no_gate,2017
rule_top3_no_gate_2018,12,12,1.0,3.0,-0.17159032376708638,-0.020524128050243284,-0.17159032376708638,-0.1910691579981355,-0.8547994061739459,-0.013990998391005207,-0.001471115249666211,-0.013990998391005207,-0.001471115249666211,0.4166666666666667,0.4166666666666667,rule_top3_no_gate,2018
rule_top3_no_gate_2019,12,12,1.0,3.0,0.22774150599101928,0.017235017907337502,0.22774150599101928,-0.0543657559960975,1.6860036641853648,0.01785835475826555,0.0017211121678241722,0.01785835475826555,0.0017211121678241722,0.5,0.75,rule_top3_no_gate,2019
rule_top3_no_gate_2020,12,12,1.0,3.0,0.3188118095979735,-0.03947429364930832,0.3188118095979735,-0.14189541709848918,1.170083416542325,0.02615440964975403,-0.00323343578189925,0.02615440964975403,-0.00323343578189925,0.4166666666666667,0.75,rule_top3_no_gate,2020
rule_top3_no_gate_2021,12,12,1.0,3.0,-0.002430653707646835,-0.04763753021378081,-0.002430653707646835,-0.09655316102258771,0.02007823356435368,0.00016410642979256129,-0.003904995903818837,0.00016410642979256129,-0.003904995903818837,0.4166666666666667,0.5,rule_top3_no_gate,2021
rule_top3_no_gate_2022,12,12,1.0,3.0,-0.04529621130043837,0.03460696866432622,-0.04529621130043837,-0.237858313310493,-0.09208938196532071,-0.0017812598993282361,0.0032933154001162095,-0.0017812598993282361,0.0032933154001162095,0.4166666666666667,0.5,rule_top3_no_gate,2022
rule_top3_no_gate_2023,12,12,1.0,3.0,0.0585903174113811,-0.01570623064350074,0.0585903174113811,-0.0771732071073492,0.43890350132137435,0.005692724077551464,-0.0010376018661864645,0.005692724077551464,-0.0010376018661864645,0.5,0.5833333333333334,rule_top3_no_gate,2023
rule_top3_no_gate_2024,12,12,1.0,3.0,0.3813757967418854,0.2801549824149234,0.3813757967418854,-0.07161717116322708,1.7465442899085437,0.028722754852458374,0.021461677897218787,0.028722754852458374,0.021461677897218787,0.6666666666666666,0.5833333333333334,rule_top3_no_gate,2024
rule_top3_no_gate_2025,12,12,1.0,3.0,0.7848888229740252,0.10232172660794836,0.7848888229740252,-0.07563021978320073,2.118829965732389,0.05267272144489125,0.00901421351527548,0.05267272144489125,0.00901421351527548,0.5833333333333334,0.8333333333333334,rule_top3_no_gate,2025
rule_top3_no_gate_2026,4,4,1.0,3.0,0.5010511048465118,-0.0236739159565158,2.3820999305715307,-0.08030192239743195,2.966050570711175,0.11322444269764484,-0.004550584293951394,0.11322444269764484,-0.004550584293951394,0.75,0.75,rule_top3_no_gate,2026
