ticker,market_cap
601878SS,0.0
601898.SS,0.0
601898SS,0.0
601899.SS,0.0
601899SS,0.0
601901.SS,0.0
601901SS,0.0
601985.SS,0.0
601985SS,0.0
601995.SS,0.0
601995SS,0.0
603019.SS,0.0
603019SS,0.0
603195.SS,0.0
603195SS,0.0
603260.SS,0.0
603260SS,0.0
603288.SS,0.0
603288SS,0.0
603296.SS,0.0
603296SS,0.0
603369.SS,0.0
603369SS,0.0
603392.SS,0.0
603392SS,0.0
603501.SS,0.0
603501SS,0.0
603799.SS,0.0
603799SS,0.0
603893.SS,0.0
603893SS,0.0
603986.SS,0.0
603986SS,0.0
605117.SS,0.0
605117SS,0.0
605499.SS,0.0
605499SS,0.0
6098.T,0.0
6098T,0.0
6103.T,0.0
6103T,0.0
6301.T,0.0
6301T,0.0
6361.T,0.0
6361T,0.0
6367.T,0.0
6367T,0.0
6473.T,0.0
6473T,0.0
64NSG,0.0
6501.T,0.0
6501T,0.0
6503.T,0.0
6503T,0.0
6506.T,0.0
6506T,0.0
6526.T,0.0
6526T,0.0
6586.T,0.0
6586T,0.0
6701.T,0.0
6701T,0.0
6702.T,0.0
6702T,0.0
6723.T,0.0
6723T,0.0
6752.T,0.0
6752T,0.0
6861.T,0.0
6861T,0.0
6862.HK,0.0
6862HK,0.0
688008.SS,0.0
688008SS,0.0
688009.SS,0.0
688009SS,0.0
688012.SS,0.0
688012SS,0.0
688036.SS,0.0
688036SS,0.0
688041.SS,0.0
688041SS,0.0
688047.SS,0.0
688047SS,0.0
688082.SS,0.0
688082SS,0.0
688111.SS,0.0
688111SS,0.0
688126.SS,0.0
688126SS,0.0
688169.SS,0.0
688169SS,0.0
688223.SS,0.0
688223SS,0.0
688256.SS,0.0
688256SS,0.0
688271.SS,0.0
688271SS,0.0
688303.SS,0.0
688303SS,0.0
688396.SS,0.0
688396SS,0.0
688472.SS,0.0
688472SS,0.0
688506.SS,0.0
688506SS,0.0
688819.SS,0.0
688819SS,0.0
6920.T,0.0
6920T,0.0
6954.T,0.0
6954T,0.0
6969.HK,0.0
6969HK,0.0
6CZF,0.0
6EQF,0.0
6IBSG,0.0
6LUSG,0.0
6MTMU,0.0
6XQF,0.0
7004.T,0.0
7004T,0.0
7011.T,0.0
7011T,0.0
7012.T,0.0
7012T,0.0
7202.T,0.0
7202T,0.0
7309.T,0.0
7309T,0.0
75CBF,0.0
7701.T,0.0
7701T,0.0
7735.T,0.0
7735T,0.0
7741NMX,0.0
7911.T,0.0
7911T,0.0
7912.T,0.0
7912T,0.0
7936.T,0.0
7936T,0.0
7S8SG,0.0
7SNF,0.0
7TCF,0.0
7TE1F,0.0
7XCSG,0.0
8001.T,0.0
8001T,0.0
8002.T,0.0
8002T,0.0
8015.T,0.0
8015T,0.0
8031.T,0.0
8031T,0.0
8035.T,0.0
8035T,0.0
8053.T,0.0
8053T,0.0
8304.T,0.0
8304T,0.0
8316.T,0.0
8316T,0.0
83BMU,0.0
8473.T,0.0
8473T,0.0
8601.T,0.0
8601T,0.0
8630.T,0.0
8630T,0.0
87WF,0.0
891F,0.0
8951.T,0.0
8951T,0.0
8957.T,0.0
8957T,0.0
8FSHA,0.0
8JNSG,0.0
8RJF,0.0
8ZNF,0.0
9001.T,0.0
9001T,0.0
900926.SS,0.0
900926SS,0.0
9101.T,0.0
9101T,0.0
9107.T,0.0
9107T,0.0
9147.T,0.0
9147T,0.0
9201.T,0.0
9201T,0.0
9502.T,0.0
9502T,0.0
9660.HK,0.0
9660HK,0.0
9696.HK,0.0
9696HK,0.0
9700F,0.0
9735.T,0.0
9735T,0.0
9843.T,0.0
9843T,0.0
9863.HK,0.0
9863HK,0.0
9899.HK,0.0
9899HK,0.0
9983.T,0.0
9983T,0.0
9HA,0.0
9JB0F,0.0
9JDSG,0.0
A,0.0
AAPL,0.0
ABBV,0.0
ABT,0.0
ACGL,0.0
ADBE,0.0
ADI,0.0
ADP,0.0
ADSK,0.0
AEE,0.0
AEP,0.0
AES,0.0
AFL,0.0
AIG,0.0
AIZ,0.0
AJG,0.0
AKAM,0.0
ALB,0.0
ALGN,0.0
ALL,0.0
ALLE,0.0
ALNY,0.0
AMAT,0.0
AMCR,0.0
AMD,0.0
AME,0.0
AMGN,0.0
AMP,0.0
AMT,0.0
ANET,0.0
AON,0.0
APA,0.0
APO,0.0
APTV,0.0
ASML,0.0
ATO,0.0
AVB,0.0
AVGO,0.0
AVY,0.0
AXON,0.0
AXP,0.0
AZO,0.0
B,0.0
B2XDU,0.0
BA,0.0
BABA,0.0
BAC,0.0
BAERZXC,0.0
BAH,0.0
BAJFINANCENS,0.0
BAL,0.0
BALL,0.0
BAM,0.0
BANR,0.0
BARCL,0.0
BASDE,0.0
BAX,0.0
BAYNSW,0.0
BBV,0.0
BBVA,0.0
BBY,0.0
BCODXD,0.0
BCPUXD,0.0
BCVVF,0.0
BDX,0.0
BE,0.0
BEIDXD,0.0
BELNS,0.0
BEN,0.0
BESIAS,0.0
BEVI,0.0
BF5AF,0.0
BFL,0.0
BFS,0.0
BG,0.0
BGNMXC,0.0
BGVI,0.0
BHARTIARTLNS,0.0
BHP,0.0
BIDU,0.0
BIIB,0.0
BILI,0.0
BIRGIR,0.0
BJEBDU,0.0
BK,0.0
BKH,0.0
BKNG,0.0
BKR,0.0
BKWZXC,0.0
BLDR,0.0
BLK,0.0
BM,0.0
BMEDMXC,0.0
BMNAX,0.0
BMOTO,0.0
BMWDE,0.0
BMY,0.0
BNB,0.0
BNBVI,0.0
BNCZF,0.0
BNL,0.0
BNPA,0.0
BNPPA,0.0
BNRDE,0.0
BNSTO,0.0
BNZLLXC,0.0
BO9SG,0.0
