date,etf_ticker,market,benchmark_ticker,name,group,ranking_group,ETF_return_20D,ETF_return_60D,ETF_return_120D,benchmark_return_20D,benchmark_return_60D,benchmark_return_120D,ETF_RS_20D,ETF_RS_60D,ETF_RS_120D,RS_slope_20D,price_obs,first_price_date,sub_asset,asset_class,persistent_rs,is_mean_reversion_group,is_cyclical_group,benchmark_strong,benchmark_strong_excluded,current_v31_score,screen_rank
2026-05-29,156080.KS,KR,069500.KS,KODEX MSCI Korea,Korea broad equity,Korea broad equity,0.3765225827314864,0.631492467861926,1.358928584958179,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.02709062236914228,0.011117285096553964,0.0621288982200876,0.0006116810466854015,3646,2012-04-30,domestic_equity_index,risk,0.6440667831775152,False,False,True,False,0.6440667831775152,21
2026-05-29,278540.KS,KR,069500.KS,KODEX MSCI Korea TR,Korea broad equity,Korea broad equity,0.3696648524778001,0.6321897934801162,1.365322780113777,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.02023289211545598,0.0118146107147441,0.06852309337568574,0.0003266262434717746,2214,2017-11-09,domestic_equity_index,risk,0.639709548922921,False,False,True,False,0.639709548922921,22
2026-05-29,148020.KS,KR,069500.KS,RISE 200,Korea broad equity,Korea broad equity,0.3525151304692926,0.6281928361777085,1.3093241508956015,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.003083170106948474,0.007817653412336423,0.012524464157510184,1.8713041951357954e-05,3783,2011-10-20,domestic_equity_index,risk,0.5756449222667651,False,False,True,False,0.5756449222667651,23
2026-05-29,325010.KS,KR,069500.KS,KODEX 성장주,Korea growth,Korea growth,0.3361199901647407,0.6494943154209192,1.2775444601644934,0.34943196036234414,0.6203751827653721,1.2967996867380913,-0.01331197019760344,0.02911913265554711,-0.019255226573597906,-0.0007108846699065482,1812,2019-05-31,domestic_equity_index,risk,0.5610166588661657,False,False,True,False,0.5610166588661657,24
2026-05-29,295040.KS,KR,069500.KS,SOL 200TR,Korea broad equity,Korea broad equity,0.3495197438633939,0.6227141482194418,1.3022303140646336,0.34943196036234414,0.6203751827653721,1.2967996867380913,8.778350104976518e-05,0.0023389654540697524,0.005430627326542314,-2.8334216033478277e-05,2099,2018-04-23,domestic_equity_index,risk,0.5592734105798566,False,False,True,False,0.5592734105798566,25
2026-05-29,102110.KS,KR,069500.KS,TIGER 200,Korea broad equity,Korea broad equity,0.3500050015004501,0.6215969109185624,1.3012265922667061,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.0005730411381059675,0.0012217281531903268,0.0044269055286148,3.181325150955641e-05,4250,2010-01-04,domestic_equity_index,risk,0.5581679160812094,False,False,True,False,0.5581679160812094,26
2026-05-29,152100.KS,KR,069500.KS,PLUS 200,Korea broad equity,Korea broad equity,0.34812555347830365,0.6229461318565996,1.298333227179476,0.34943196036234414,0.6203751827653721,1.2967996867380913,-0.0013064068840404897,0.00257094909122757,0.001533540441384762,-8.638203462092261e-05,3725,2012-01-10,domestic_equity_index,risk,0.5548861971148734,False,False,True,False,0.5548861971148734,27
2026-05-29,069500.KS,KR,069500.KS,KODEX 200,Korea broad equity,Korea broad equity,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.0,0.0,0.0,0.0,4250,2010-01-04,domestic_equity_index,risk,0.5523031923556142,False,False,True,False,0.5523031923556142,28
2026-05-29,361580.KS,KR,069500.KS,RISE 200TR,Korea broad equity,Korea broad equity,0.34581246155198175,0.6200148101131915,1.2980192076830734,0.34943196036234414,0.6203751827653721,1.2967996867380913,-0.003619498810362387,-0.000360372652180585,0.001219520944982122,-5.60453604457146e-05,1494,2020-08-21,domestic_equity_index,risk,0.5487528183222333,False,False,True,False,0.5487528183222333,29
2026-05-29,294400.KS,KR,069500.KS,KIWOOM 200TR,Korea broad equity,Korea broad equity,0.3461641170411627,0.6206769852569696,1.2947909215061455,0.34943196036234414,0.6203751827653721,1.2967996867380913,-0.003267843321181463,0.0003018024915975026,-0.0020087652319458194,-6.263251498162574e-05,2099,2018-04-23,domestic_equity_index,risk,0.5476898356532547,False,False,True,False,0.5476898356532547,30
2026-05-29,494410.KS,US,QQQ,PLUS 미국S&P500성장주,US growth,US growth,0.1100000000000001,0.2058846530880971,0.15149035992540072,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.004315140090008995,-0.00815520733888575,-0.034184992925725854,0.0011931041836016655,413,2024-10-22,overseas_equity_index,risk,0.5368649062694597,False,False,True,False,0.5368649062694597,31
2026-05-29,448300.KS,US,QQQ,TIGER 미국나스닥100TR(H),US growth,US growth,0.11541184800566429,0.205409005098391,0.16085982167838475,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.009726988095673184,-0.008630855328591869,-0.024815531172741823,0.00023681614145225978,906,2022-11-25,overseas_equity_index,risk,0.5336378622319792,False,False,True,False,0.5336378622319792,32
2026-05-29,304940.KS,US,QQQ,KODEX 미국나스닥100선물(H),US growth,US growth,0.11449492428024621,0.20384684522739538,0.15663074571268987,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.00881006437025511,-0.010193015199587485,-0.029044607138436707,0.00015895528369289764,2006,2018-08-30,overseas_equity_index,risk,0.5264534721838503,False,False,True,False,0.5264534721838503,33
2026-05-29,278530.KS,KR,069500.KS,KODEX 200TR,Korea broad equity,Korea broad equity,0.3414903912622702,0.6088542530260321,1.2900637243332547,0.34943196036234414,0.6203751827653721,1.2967996867380913,-0.00794156910007393,-0.011520929739339936,-0.006735962404836648,-0.00018431774040058153,2206,2017-11-21,domestic_equity_index,risk,0.5209894239963037,False,False,True,False,0.5209894239963037,34
2026-05-29,465580.KS,US,QQQ,ACE 미국빅테크TOP7 Plus,US growth,US growth,0.08209411285394164,0.21639569498511557,0.12641038197520738,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.023590747056049466,0.002355834558132708,-0.0592649708759192,0.00021696593157849342,701,2023-09-12,overseas_equity_index,risk,0.4975047768648726,False,False,True,False,0.4975047768648726,35
