pdf_color_group,sub_asset,screen_rank,etf_ticker,name,current_v31_score,ETF_RS_20D,ETF_RS_60D,MA60_breadth,HP90_share
해외주식_지수,overseas_equity_index,110,310080.KS,RISE 중국MSCI China(H),-0.9599441531871428,-0.1401676185306807,-0.2435277031584882,0.2916666666666666,0.2083333333333333
국내주식_섹터,domestic_equity_sector,111,445290.KS,KODEX 로봇액티브,-1.08829564948568,-0.0897393056323285,-0.2845624292155135,0.1511502205310035,0.0968390556084059
국내주식_섹터,domestic_equity_sector,112,139290.KS,TIGER 200 경기소비재,-1.3256861557042654,-0.0651182348721479,-0.3333244225006648,0.5277891063984048,0.3082630958854451
국내주식_섹터,domestic_equity_sector,114,091180.KS,KODEX 자동차,-1.8918684039952955,-0.0710237526831898,-0.343147453385908,0.1616341030195378,0.1194718050845935
국내주식_섹터,domestic_equity_sector,115,139220.KS,TIGER 200 건설,-1.9088926420610883,-0.4134763375685972,-0.262071655660465,0.2874942581534221,0.0938217730822232
국내주식_섹터,domestic_equity_sector,116,455850.KS,SOL AI반도체소부장,-1.9405616680633728,-0.4231499090802928,-0.5755291670599174,0.3456490570199625,0.0406970331973088
국내주식_섹터,domestic_equity_sector,117,305720.KS,KODEX 2차전지산업,-2.143532876975706,-0.4037443146746984,-0.4065074848447414,0.3703243635551584,0.0265045779365788
국내주식_섹터,domestic_equity_sector,118,305540.KS,TIGER 2차전지테마,-2.1675629197583586,-0.4125405745945538,-0.4047364847765602,0.3657927185411122,0.0277110779414627
국내주식_섹터,domestic_equity_sector,119,462010.KS,TIGER 2차전지소재Fn,-2.2699212937447104,-0.4039066685335504,-0.5227574010561786,0.5005661939932733,0.0
국내주식_섹터,domestic_equity_sector,120,227570.KS,TIGER 우량가치,-2.281949591987445,-0.4236450101851501,-0.4350600060486347,0.442153744928172,0.148152209672113
국내주식_지수,domestic_equity_index,121,229200.KS,KODEX 코스닥150,-2.4623444345883296,-0.4060927510951571,-0.662228363023177,0.2983027010321748,0.0589340541460541
국내주식_지수,domestic_equity_index,122,232080.KS,TIGER 코스닥150,-2.468357239653623,-0.4091408179986628,-0.663160204892511,0.2984816736326661,0.0587541880035409
국내주식_섹터,domestic_equity_sector,123,161510.KS,PLUS 고배당주,-2.6627352172649457,-0.3711158863853275,-0.5990996636406272,0.3679775280898878,0.2378277153558053
국내주식_섹터,domestic_equity_sector,124,174350.KS,TIGER 로우볼,-2.6972866431173506,-0.3777905280143508,-0.5988409133190877,0.3836772983114446,0.196060037523452
국내주식_섹터,domestic_equity_sector,125,139250.KS,TIGER 200 에너지화학,-2.7106126659449896,-0.3683995473971581,-0.4320942706385373,0.2070403139089587,0.0142051349770793
국내주식_섹터,domestic_equity_sector,126,139270.KS,TIGER 200 금융,-2.7474065574084148,-0.3557382666686505,-0.5810840027491135,0.2028095037534376,0.0788593513861704
국내주식_섹터,domestic_equity_sector,127,315270.KS,TIGER 200커뮤니케이션서비스,-2.7852799788251907,-0.3738872738349986,-0.6154452174722991,0.4848411643918348,0.2881990578572292
국내주식_섹터,domestic_equity_sector,128,139230.KS,TIGER 200 중공업,-2.9629592629652377,-0.458377487598726,-0.4989915349666298,0.3593152375077112,0.0432140653917334
국내주식_섹터,domestic_equity_sector,129,227550.KS,TIGER 200 산업재,-2.964955848216723,-0.4341724231515874,-0.5556219435119181,0.2588516853429955,0.0087678096132769
